2022-03-07 17:03:53,405 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:03:53,947 - movie_logger - INFO - 네이버 영화 랭킹 4페이지 이동...!
2022-03-07 17:03:53,985 - movie_logger - INFO - 50-집으로 가는 길영화 제목 클릭...!
2022-03-07 17:03:55,510 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:03:55,552 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:03:55,578 - movie_logger - INFO - iframe 전환
2022-03-07 17:05:37,003 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:05:37,567 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:05:37,603 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:05:39,025 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:05:39,061 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:05:39,090 - movie_logger - INFO - iframe 전환
2022-03-07 17:08:43,349 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:08:43,887 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:08:43,948 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:08:45,343 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:08:45,390 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:08:45,420 - movie_logger - INFO - iframe 전환
2022-03-07 17:12:51,020 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:12:51,631 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:12:51,670 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:12:53,059 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:12:53,096 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:12:53,127 - movie_logger - INFO - iframe 전환
2022-03-07 17:23:40,023 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:23:40,574 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:23:40,608 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:23:41,920 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:23:41,959 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:23:41,988 - movie_logger - INFO - iframe 전환
2022-03-07 17:23:57,758 - movie_logger - INFO - 219,
2022-03-07 17:23:57,820 - movie_logger - INFO - 220,
2022-03-07 17:23:57,999 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:58,069 - movie_logger - INFO - 221,
2022-03-07 17:23:58,130 - movie_logger - INFO - 222,
2022-03-07 17:23:58,240 - movie_logger - INFO - 223,
2022-03-07 17:23:58,360 - movie_logger - INFO - 224,
2022-03-07 17:23:58,415 - movie_logger - INFO - 225,
2022-03-07 17:23:58,474 - movie_logger - INFO - 226,
2022-03-07 17:23:58,536 - movie_logger - INFO - 227,
2022-03-07 17:23:58,595 - movie_logger - INFO - 228,
2022-03-07 17:23:58,658 - movie_logger - INFO - 229,
2022-03-07 17:23:58,717 - movie_logger - INFO - 230,
2022-03-07 17:23:58,881 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:58,954 - movie_logger - INFO - 231,
2022-03-07 17:23:59,015 - movie_logger - INFO - 232,
2022-03-07 17:23:59,078 - movie_logger - INFO - 233,
2022-03-07 17:23:59,146 - movie_logger - INFO - 234,
2022-03-07 17:23:59,207 - movie_logger - INFO - 235,
2022-03-07 17:23:59,266 - movie_logger - INFO - 236,
2022-03-07 17:23:59,325 - movie_logger - INFO - 237,
2022-03-07 17:23:59,395 - movie_logger - INFO - 238,
2022-03-07 17:23:59,453 - movie_logger - INFO - 239,
2022-03-07 17:23:59,517 - movie_logger - INFO - 240,
2022-03-07 17:23:59,679 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:59,749 - movie_logger - INFO - 241,
2022-03-07 17:23:59,814 - movie_logger - INFO - 242,
2022-03-07 17:23:59,873 - movie_logger - INFO - 243,
2022-03-07 17:23:59,934 - movie_logger - INFO - 244,
2022-03-07 17:24:00,014 - movie_logger - INFO - 245,
2022-03-07 17:24:00,086 - movie_logger - INFO - 246,
2022-03-07 17:24:00,151 - movie_logger - INFO - 247,
2022-03-07 17:24:00,213 - movie_logger - INFO - 248,
2022-03-07 17:24:00,275 - movie_logger - INFO - 249,
2022-03-07 17:24:00,336 - movie_logger - INFO - 250,
2022-03-07 17:24:00,511 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:24:00,594 - movie_logger - INFO - 251,
2022-03-07 17:24:00,657 - movie_logger - INFO - 252,
2022-03-07 17:24:00,716 - movie_logger - INFO - 253,
2022-03-07 17:24:00,777 - movie_logger - INFO - 254,
2022-03-07 17:24:00,842 - movie_logger - INFO - 255,
2022-03-07 17:24:00,903 - movie_logger - INFO - 256,
2022-03-07 17:24:00,972 - movie_logger - INFO - 257,
2022-03-07 17:24:01,034 - movie_logger - INFO - 258,
2022-03-07 17:24:01,099 - movie_logger - INFO - 259,
2022-03-07 17:24:01,162 - movie_logger - INFO - 260,
2022-03-07 17:24:01,328 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:24:01,409 - movie_logger - INFO - 261,
2022-03-07 17:24:01,473 - movie_logger - INFO - 262,
2022-03-07 17:24:01,542 - movie_logger - INFO - 263,
2022-03-07 17:24:01,606 - movie_logger - INFO - 264,
2022-03-07 17:24:01,668 - movie_logger - INFO - 265,
